"home","away","score","attend","ref","season","start_datetime","start_date","start_time","home_score","away_score","home_tk","away_tk","outcome"
"Vetlanda BK","Hammarby IF","2 - 5","1483","Anders Kristiansson","s1112","2012-01-11 19:00:00","2012-01-11","19:00:00","2","5","10","4","2"
"Kalix Bandy","Västerås SK/BK","3 - 4","510","Ulrik Bergman","s1112","2012-01-11 19:00:00","2012-01-11","19:00:00","3","4","15","3","2"
"Broberg/Söderhamn","GAIS Bandy","3 - 6","863","Håkan Sjösten","s1112","2012-01-11 19:00:00","2012-01-11","19:00:00","3","6","12","16","2"
"IFK Vänersborg","IFK Kungälv","5 - 2","1873","Ulrik Bergman","s1112","2012-01-13 19:00:00","2012-01-13","19:00:00","5","2","7","5","1"
"Hammarby IF","Bollnäs GIF","4 - 3","3659","Jonas Kandell","s1112","2012-01-13 19:00:00","2012-01-13","19:00:00","4","3","4","6","1"
"Edsbyns IF","Kalix Bandy","10 - 4","1101","Håkan Sjösten","s1112","2012-01-13 19:00:00","2012-01-13","19:00:00","10","4","8","15","2"
"Västerås SK/BK","Broberg/Söderhamn","3 - 3","825","Roland Fager","s1112","2012-01-14 11:45:00","2012-01-14","11:45:00","3","3","3","12","x"
"IK Sirius","Sandvikens AIK/BK","3 - 6","1365","Keijo Hyvärinen","s1112","2012-01-14 16:00:00","2012-01-14","16:00:00","3","6","2","13","2"
"Villa Lidköping BK","TB Västerås","8 - 3","2483","Mikael Karlsson (Uppsala)","s1112","2012-01-14 17:00:00","2012-01-14","17:00:00","8","3","1","9","1"
"GAIS Bandy","Vetlanda BK","5 - 3","563","Henric Björkholm","s1112","2012-01-16 19:00:00","2012-01-16","19:00:00","5","3","16","10","1"
"IFK Kungälv","Sandvikens AIK/BK","6 - 2","585","Peter Öhrlund","s1112","2012-01-16 20:00:00","2012-01-16","20:00:00","6","2","5","13","1"
"IFK Vänersborg","Bollnäs GIF","6 - 3","1478","Anders Kristiansson","s1112","2012-01-17 19:00:00","2012-01-17","19:00:00","6","3","7","6","1"
"IK Sirius","TB Västerås","6 - 5","965","Christoffer Aidesjö","s1112","2012-01-18 19:00:00","2012-01-18","19:00:00","6","5","2","9","1"
"Västerås SK/BK","Edsbyns IF","6 - 2","1559","Roland Fager","s1112","2012-01-18 19:00:00","2012-01-18","19:00:00","6","2","3","8","1"
