"home","away","score","attend","ref","season","start_datetime","start_date","start_time","home_score","away_score","home_tk","away_tk","outcome"
"Hammarby IF","Kalix Bandy","8 - 5","2289","Roland Fager","s1415","2014-12-30 19:00:00","2014-12-30","19:00:00","8","5","4","15","1"
"Sandvikens AIK/BK","TB Västerås","8 - 3","1008","Roland Fager","s1415","2015-01-02 19:00:00","2015-01-02","19:00:00","8","3","13","9","1"
"IFK Vänersborg","Hammarby IF","4 - 3","2012","Daniel Labe","s1415","2015-01-02 19:00:00","2015-01-02","19:00:00","4","3","7","4","1"
"Kalix Bandy","Broberg/Söderhamn","0 - 2","409","Petteri Kuusela","s1415","2015-01-02 19:00:00","2015-01-02","19:00:00","0","2","15","12","2"
"Bollnäs GIF","IFK Kungälv","4 - 2","1415","","s1415","2015-01-02 20:00:00","2015-01-02","20:00:00","4","2","6","5","1"
"IK Sirius","Ljusdals BK","8 - 2","758","Roland Fager","s1415","2015-01-03 16:00:00","2015-01-03","16:00:00","8","2","2","18","1"
"Villa Lidköping BK","Edsbyns IF","5 - 5","4002","Keijo Hyvärinen","s1415","2015-01-03 17:00:00","2015-01-03","17:00:00","5","5","1","8","x"
"Västerås SK/BK","Vetlanda BK","7 - 3","1215","Keijo Hyvärinen","s1415","2015-01-04 15:00:00","2015-01-04","15:00:00","7","3","3","10","1"
"Edsbyns IF","Vetlanda BK","5 - 1","1233","Mikael Hillerius","s1415","2015-01-06 15:00:00","2015-01-06","15:00:00","5","1","8","10","1"
"TB Västerås","Villa Lidköping BK","4 - 7","304","Christoffer Aidesjö","s1415","2015-01-06 15:00:00","2015-01-06","15:00:00","4","7","9","1","2"
"IK Sirius","Kalix Bandy","7 - 2","795","","s1415","2015-01-06 15:00:00","2015-01-06","15:00:00","7","2","2","15","1"
"Broberg/Söderhamn","IFK Vänersborg","2 - 3","1002","Keijo Hyvärinen","s1415","2015-01-06 15:00:00","2015-01-06","15:00:00","2","3","12","7","2"
"Hammarby IF","Västerås SK/BK","5 - 6","3660","Ulrik Bergman","s1415","2015-01-06 16:00:00","2015-01-06","16:00:00","5","6","4","3","2"
"IFK Kungälv","Sandvikens AIK/BK","3 - 3","810","Daniel Labe","s1415","2015-01-06 16:00:00","2015-01-06","16:00:00","3","3","5","13","x"
"Ljusdals BK","Bollnäs GIF","1 - 4","822","Roland Fager","s1415","2015-01-06 17:00:00","2015-01-06","17:00:00","1","4","18","6","2"
"Edsbyns IF","Hammarby IF","10 - 3","1603","Keijo Hyvärinen","s1415","2015-01-09 19:00:00","2015-01-09","19:00:00","10","3","8","4","2"
"Villa Lidköping BK","IFK Kungälv","10 - 2","3247","Ulrik Bergman","s1415","2015-01-09 19:00:00","2015-01-09","19:00:00","10","2","1","5","2"
"IFK Vänersborg","IK Sirius","11 - 2","1949","Christoffer Aidesjö","s1415","2015-01-09 19:00:00","2015-01-09","19:00:00","11","2","7","2","2"
"Kalix Bandy","Ljusdals BK","3 - 1","310","Juha-Matti Kanniainen","s1415","2015-01-10 14:00:00","2015-01-10","14:00:00","3","1","15","18","1"
"Sandvikens AIK/BK","Bollnäs GIF","4 - 5","3256","Peter Öhrlund","s1415","2015-01-10 15:00:00","2015-01-10","15:00:00","4","5","13","6","2"
"Vetlanda BK","TB Västerås","5 - 0","816","Roland Fager","s1415","2015-01-10 16:00:00","2015-01-10","16:00:00","5","0","10","9","1"
"Västerås SK/BK","Broberg/Söderhamn","3 - 6","1421","Keijo Hyvärinen","s1415","2015-01-11 15:00:00","2015-01-11","15:00:00","3","6","3","12","2"
"IFK Kungälv","Vetlanda BK","5 - 4","524","Jonas Kandell","s1415","2015-01-14 19:00:00","2015-01-14","19:00:00","5","4","5","10","1"
"Broberg/Söderhamn","Edsbyns IF","2 - 4","1345","Ulrik Bergman","s1415","2015-01-14 19:00:00","2015-01-14","19:00:00","2","4","12","8","2"
"TB Västerås","Hammarby IF","4 - 7","334","Daniel Labe","s1415","2015-01-14 19:00:00","2015-01-14","19:00:00","4","7","9","4","2"
"IK Sirius","Västerås SK/BK","3 - 8","822","Roland Fager","s1415","2015-01-14 19:00:00","2015-01-14","19:00:00","3","8","2","3","2"
"Ljusdals BK","Sandvikens AIK/BK","3 - 10","474","Christoffer Aidesjö","s1415","2015-01-14 19:00:00","2015-01-14","19:00:00","3","10","18","13","1"
"Kalix Bandy","IFK Vänersborg","6 - 6","362","Juha-Matti Kanniainen","s1415","2015-01-14 19:00:00","2015-01-14","19:00:00","6","6","15","7","x"
"Bollnäs GIF","Villa Lidköping BK","5 - 2","1427","Peter Öhrlund","s1415","2015-01-14 19:00:00","2015-01-14","19:00:00","5","2","6","1","1"
"Hammarby IF","IFK Kungälv","6 - 2","1561","SergeyGorbachev","s1415","2015-01-16 19:00:00","2015-01-16","19:00:00","6","2","4","5","1"
"TB Västerås","Broberg/Söderhamn","3 - 11","242","Jacob Hallkvist","s1415","2015-01-16 19:00:00","2015-01-16","19:00:00","3","11","9","12","1"
"Vetlanda BK","Bollnäs GIF","7 - 3","1642","Roland Fager","s1415","2015-01-16 19:00:00","2015-01-16","19:00:00","7","3","10","6","1"
"Edsbyns IF","IK Sirius","7 - 4","1306","Peter Öhrlund","s1415","2015-01-16 19:00:00","2015-01-16","19:00:00","7","4","8","2","1"
"Västerås SK/BK","Kalix Bandy","9 - 2","973","Sergey Gorbachev","s1415","2015-01-17 15:00:00","2015-01-17","15:00:00","9","2","3","15","1"
"Villa Lidköping BK","Sandvikens AIK/BK","5 - 7","3672","Jonas Kandell","s1415","2015-01-17 17:00:00","2015-01-17","17:00:00","5","7","1","13","2"
"IFK Vänersborg","Ljusdals BK","7 - 3","1671","Christoffer Aidesjö","s1415","2015-01-17 17:00:00","2015-01-17","17:00:00","7","3","7","18","1"
"IFK Kungälv","Broberg/Söderhamn","0 - 9","700","Daniel Labe","s1415","2015-01-18 13:15:00","2015-01-18","13:15:00","0","9","5","12","2"
"TB Västerås","Kalix Bandy","2 - 2","223","Mikael Hilerius","s1415","2015-01-19 18:00:00","2015-01-19","18:00:00","2","2","9","15","x"
"Sandvikens AIK/BK","Vetlanda BK","5 - 2","1107","Keijo Hyvärinen","s1415","2015-01-19 19:00:00","2015-01-19","19:00:00","5","2","13","10","1"
"Villa Lidköping BK","Ljusdals BK","13 - 3","2344","","s1415","2015-01-19 19:00:00","2015-01-19","19:00:00","13","3","1","18","2"
"Bollnäs GIF","Hammarby IF","3 - 8","1412","Christoffer Aidesjö","s1415","2015-01-28 19:00:00","2015-01-28","19:00:00","3","8","6","4","2"
"IK Sirius","TB Västerås","2 - 3","838","Jacob Hallkvist","s1415","2015-01-28 19:00:00","2015-01-28","19:00:00","2","3","2","9","2"
"IFK Vänersborg","Västerås SK/BK","6 - 7","1937","Peter Öhrlund","s1415","2015-01-28 19:00:00","2015-01-28","19:00:00","6","7","7","3","2"
"Kalix Bandy","Edsbyns IF","2 - 4","708","Petri Kuusela","s1415","2015-01-28 19:00:00","2015-01-28","19:00:00","2","4","15","8","2"
"Sandvikens AIK/BK","Broberg/Söderhamn","9 - 2","1638","Roland Fager","s1415","2015-01-28 19:00:00","2015-01-28","19:00:00","9","2","13","12","1"
"Hammarby IF","Sandvikens AIK/BK","6 - 5","4875","Keijo Hyvärinen","s1415","2015-01-30 19:00:00","2015-01-30","19:00:00","6","5","4","13","1"
"Broberg/Söderhamn","Bollnäs GIF","1 - 4","2473","Ulrik Bergman","s1415","2015-01-30 19:00:00","2015-01-30","19:00:00","1","4","12","6","2"
"IFK Kungälv","IK Sirius","4 - 3","615","Daniel Labe","s1415","2015-01-30 19:00:00","2015-01-30","19:00:00","4","3","5","2","1"
"Västerås SK/BK","Ljusdals BK","15 - 0","823","Mikael Karlsson (Grästorp)","s1415","2015-01-30 19:00:00","2015-01-30","19:00:00","15","0","3","18","1"
"Vetlanda BK","Villa Lidköping BK","2 - 8","1334","Jonas Kandell","s1415","2015-01-30 19:00:00","2015-01-30","19:00:00","2","8","10","1","2"
"Edsbyns IF","IFK Vänersborg","3 - 3","1532","Christoffer Aidesjö","s1415","2015-01-30 19:00:00","2015-01-30","19:00:00","3","3","8","7","x"
"Kalix Bandy","IFK Kungälv","6 - 3","235","Juha-Matti Kanniainen","s1415","2015-02-01 16:00:00","2015-02-01","16:00:00","6","3","15","5","1"
"Ljusdals BK","Vetlanda BK","2 - 4","276","Christoffer Aidesjö","s1415","2015-02-01 16:00:00","2015-02-01","16:00:00","2","4","18","10","2"
"Västerås SK/BK","Edsbyns IF","6 - 1","1838","Keijo Hyvärinen","s1415","2015-02-01 16:00:00","2015-02-01","16:00:00","6","1","3","8","1"
"IFK Vänersborg","TB Västerås","11 - 0","1806","Daniel Labe","s1415","2015-02-01 17:00:00","2015-02-01","17:00:00","11","0","7","9","1"
"Bollnäs GIF","IK Sirius","5 - 2","1138","Jonas Kandell","s1415","2015-02-01 17:00:00","2015-02-01","17:00:00","5","2","6","2","1"
"Villa Lidköping BK","Hammarby IF","9 - 4","3406","Roland Fager","s1415","2015-02-01 17:00:00","2015-02-01","17:00:00","9","4","1","4","1"
"Broberg/Söderhamn","Villa Lidköping BK","5 - 3","555","Keijo Hyvärinen","s1415","2015-02-04 19:00:00","2015-02-04","19:00:00","5","3","12","1","1"
"IFK Kungälv","IFK Vänersborg","3 - 3","1628","Peter Öhrlund","s1415","2015-02-04 19:00:00","2015-02-04","19:00:00","3","3","5","7","x"
"IK Sirius","Sandvikens AIK/BK","2 - 15","1580","Christoffer Aidesjö","s1415","2015-02-04 19:00:00","2015-02-04","19:00:00","2","15","2","13","1"
"Edsbyns IF","Ljusdals BK","9 - 3","1150","Jonas Kandell","s1415","2015-02-04 19:00:00","2015-02-04","19:00:00","9","3","8","18","1"
"Hammarby IF","Vetlanda BK","7 - 4","1905","Mikael Karlsson (Grästorp)","s1415","2015-02-04 19:00:00","2015-02-04","19:00:00","7","4","4","10","1"
"TB Västerås","Västerås SK/BK","4 - 8","1185","Ulrik Bergman","s1415","2015-02-04 19:00:00","2015-02-04","19:00:00","4","8","9","3","2"
"Bollnäs GIF","Kalix Bandy","5 - 4","1058","Roland Fager","s1415","2015-02-05 19:00:00","2015-02-05","19:00:00","5","4","6","15","1"
"Villa Lidköping BK","IK Sirius","13 - 4","2559","Daniel Labe","s1415","2015-02-07 16:00:00","2015-02-07","16:00:00","13","4","1","2","2"
"IFK Vänersborg","Bollnäs GIF","3 - 3","1846","Jonas Kandell","s1415","2015-02-07 16:00:00","2015-02-07","16:00:00","3","3","7","6","x"
"Sandvikens AIK/BK","Kalix Bandy","6 - 1","1139","Peter Öhrlund","s1415","2015-02-07 16:00:00","2015-02-07","16:00:00","6","1","13","15","1"
"Västerås SK/BK","IFK Kungälv","8 - 2","1111","Mikael Hillerius","s1415","2015-02-07 16:00:00","2015-02-07","16:00:00","8","2","3","5","1"
"Ljusdals BK","Hammarby IF","4 - 8","516","Ulrik Bergman","s1415","2015-02-07 16:00:00","2015-02-07","16:00:00","4","8","18","4","2"
"Edsbyns IF","TB Västerås","8 - 3","1391","","s1415","2015-02-07 16:00:00","2015-02-07","16:00:00","8","3","8","9","1"
"Vetlanda BK","Broberg/Söderhamn","3 - 7","757","","s1415","2015-02-07 16:00:00","2015-02-07","16:00:00","3","7","10","12","2"
"Bollnäs GIF","Västerås SK/BK","2 - 7","1563","Christoffer Aidesjö","s1415","2015-02-10 19:00:00","2015-02-10","19:00:00","2","7","6","3","2"
"Kalix Bandy","Villa Lidköping BK","3 - 4","792","Petri Kuusela","s1415","2015-02-10 19:00:00","2015-02-10","19:00:00","3","4","15","1","2"
"Sandvikens AIK/BK","IFK Vänersborg","5 - 4","1471","Roland Fager","s1415","2015-02-10 19:00:00","2015-02-10","19:00:00","5","4","13","7","1"
"IK Sirius","Vetlanda BK","4 - 7","381","Valdemar Olsson","s1415","2015-02-10 19:00:00","2015-02-10","19:00:00","4","7","2","10","2"
"TB Västerås","Ljusdals BK","0 - 3","468","Jacob Hallkvist","s1415","2015-02-10 19:00:00","2015-02-10","19:00:00","0","3","9","18","2"
"Broberg/Söderhamn","Hammarby IF","3 - 6","804","Jonas Kandell","s1415","2015-02-10 19:00:00","2015-02-10","19:00:00","3","6","12","4","2"
"IFK Kungälv","Edsbyns IF","6 - 8","756","","s1415","2015-02-10 19:00:00","2015-02-10","19:00:00","6","8","5","8","2"
